indicator,cycle,time
1,0.025,1.0000
1,0.038,0.6667
1,0.051,0.4445
1,0.064,0.6667
1,0.077,0.6667
1,0.090,0.4445
1,0.103,0.3334
1,0.155,0.4445
1,0.181,0.2222
1,0.194,0.2222
1,0.207,0.2222
1,0.233,0.2222
1,0.259,0.3334
2,0.324,0.2222
2,0.415,0.2222
2,0.428,0.2222
2,0.441,0.2222
2,0.454,0.2222
2,0.467,0.2222
2,0.480,0.2222
2,0.493,0.2222
2,0.506,0.2222
2,0.519,0.2222
2,0.532,0.2222
2,0.545,0.2222
2,0.558,0.2222
2,0.571,0.2222
2,0.584,0.2222
2,0.597,0.2222
2,0.675,0.0001
2,0.714,0.0001
2,0.727,0.0001
2,0.740,0.0001
2,0.792,0.0001
2,0.805,0.0001
2,0.818,0.0001
2,0.831,0.0001
2,0.844,0.0001
2,0.857,0.0001
2,0.870,0.0001
2,0.987,0.0001
2,1.000,0.0001
