indicator;cycle;time
1;0;1
1;0,013;0,66672
1;0,027;0,44446
1;0,04;0,66672
1;0,053;0,66672
1;0,067;0,44446
1;0,08;0,33334
1;0,133;0,44446
1;0,16;0,22221
1;0,173;0,22221
1;0,187;0,2222
1;0,213;0,2222
1;0,24;0,33334
2;0,307;0,22215
2;0,4;0,22221
2;0,413;0,22221
2;0,427;0,22221
2;0,44;0,22221
2;0,453;0,22221
2;0,467;0,22221
2;0,48;0,22221
2;0,493;0,2222
2;0,507;0,22221
2;0,52;0,22221
2;0,533;0,22221
2;0,547;0,22221
2;0,56;0,22221
2;0,573;0,22221
2;0,587;0,22221
2;0,667;0,00002
2;0,707;0,00004
2;0,72;0,00004
2;0,733;0,00004
2;0,787;0,00004
2;0,8;0,00004
2;0,813;0,00004
2;0,827;0,00004
2;0,84;0,00004
2;0,853;0,00001
2;0,867;0
2;0,987;0,00003
2;1;0,00003
