,indicator,cycle,time
0,1,0.0,1.0
1,1,0.013,0.66672
2,1,0.027,0.44446
3,1,0.04,0.66672
4,1,0.053,0.66672
5,1,0.067,0.44446
6,1,0.08,0.33334
7,1,0.133,0.44446
8,1,0.16,0.22221
9,1,0.173,0.22221
10,1,0.187,0.2222
11,1,0.213,0.2222
12,1,0.24,0.33334
13,2,0.307,0.22215
14,2,0.4,0.22221
15,2,0.413,0.22221
16,2,0.427,0.22221
17,2,0.44,0.22221
18,2,0.453,0.22221
19,2,0.467,0.22221
20,2,0.48,0.22221
21,2,0.493,0.2222
22,2,0.507,0.22221
23,2,0.52,0.22221
24,2,0.533,0.22221
25,2,0.547,0.22221
26,2,0.56,0.22221
27,2,0.573,0.22221
28,2,0.587,0.22221
29,2,0.667,2e-05
30,2,0.707,4e-05
31,2,0.72,4e-05
32,2,0.733,4e-05
33,2,0.787,4e-05
34,2,0.8,4e-05
35,2,0.813,4e-05
36,2,0.827,4e-05
37,2,0.84,4e-05
38,2,0.853,1e-05
39,2,0.867,0.0
40,2,0.987,3e-05
41,2,1.0,3e-05
